"Quantity","Value","RefDes","Name","Part"
"1","100nf","C1","C1","Part 1"
"1","10uF","C2","C2","Part 1"
"1","22pF","C3","C3","Part 1"
"1","470uF","C4","C4","Part 1"
"1","22pF","C6","C6","Part 1"
"1","0.01uf","C7","C7","Part 1"
"1","10uf","C8","C8","Part 1"
"1","100uf","C9","C9","Part 1"
"1","1N4007","D1","D1","Part 1"
"1","1N4007","D2","D2","Part 1"
"1","1N4007","D3","D3","Part 1"
"1","1N4007","D4","D4","Part 1"
"1","1N4007","D5","D5","Part 1"
"1","1N4007","D6","D6","Part 1"
"1","1N4007","D7","D7","Part 1"
"1","1N4007","D8","D8","Part 1"
"1","LED","D9","D9","Part 1"
"1","LM1117?-3.3MP (LM1117?-*)","IC1","IC1","Part 1"
"1","NE555","IC2","IC2","Part 1"
"1","PINHD-1X2","JP1","JP1","Part 1"
"1","PINHD-1X4","JP3","JP3","Part 1"
"1","PINHD-1X2","JP6","JP6","Part 1"
"1","PINHD-1X2","JP8","JP8","Part 1"
"1","PINHD-1X5","JP9","JP9","Part 1"
"1","5V","K1","K1","Part 1"
"1","5V","K2","K2","Part 1"
"1","5V","K3","K3","Part 1"
"1","5V","K4","K4","Part 1"
"1","5V","K5","K5","Part 1"
"1","5V","K6","K6","Part 1"
"1","5V","K7","K7","Part 1"
"1","5V","K8","K8","Part 1"
"1","Buzzer","LS1","LS1","Part 1"
"1","PC814","OK1","OK1","Part 1"
"1","PC814","OK2","OK2","Part 1"
"1","PC814","OK3","OK3","Part 1"
"1","PC814","OK4","OK4","Part 1"
"1","PC814","OK5","OK5","Part 1"
"1","PC814","OK6","OK6","Part 1"
"1","PC814","OK7","OK7","Part 1"
"1","PC814","OK8","OK8","Part 1"
"1","16MHz","Q1","Q1","Part 1"
"1","BC547","Q2","Q2","Part 1"
"1","BC547","Q4","Q4","Part 1"
"1","BC547","Q5","Q5","Part 1"
"1","BC547","Q6","Q6","Part 1"
"1","BC547","Q7","Q7","Part 1"
"1","BC547","Q8","Q8","Part 1"
"1","BC547","Q9","Q9","Part 1"
"1","BC547","Q10","Q10","Part 1"
"1","IRF9540","Q11","Q11","Part 1"
"1","1k","R1","R1","Part 1"
"1","220k","R2","R2","Part 1"
"1","10k","R3","R3","Part 1"
"1","10k","R4","R4","Part 1"
"1","1k","R5","R5","Part 1"
"1","220k","R6","R6","Part 1"
"1","1k","R7","R7","Part 1"
"1","220k","R8","R8","Part 1"
"1","1k","R9","R9","Part 1"
"1","220k","R10","R10","Part 1"
"1","10k","R11","R11","Part 1"
"1","10k","R12","R12","Part 1"
"1","1k","R13","R13","Part 1"
"1","220k","R14","R14","Part 1"
"1","1k","R15","R15","Part 1"
"1","220k","R16","R16","Part 1"
"1","1k","R17","R17","Part 1"
"1","220k","R18","R18","Part 1"
"1","1k","R19","R19","Part 1"
"1","220k","R20","R20","Part 1"
"1","47k","R21","R21","Part 1"
"1","1k","R22","R22","Part 1"
"1","1k","R23","R23","Part 1"
"1","10k","R24","R24","Part 1"
"1","10k","R25","R25","Part 1"
"1","10k","R26","R26","Part 1"
"1","10k","R27","R27","Part 1"
"1","10k","R28","R28","Part 1"
"1","10k","R29","R29","Part 1"
"1","10k","R30","R30","Part 1"
"1","10k","R31","R31","Part 1"
"1","10k","R32","R32","Part 1"
"1","10k","R33","R33","Part 1"
"1","10k","R34","R34","Part 1"
"1","10k","R35","R35","Part 1"
"1","10k","R36","R36","Part 1"
"1","10k","R37","R37","Part 1"
"1","330","R38","R38","Part 1"
"1","PUSH_SWITCH","S1","S1","Part 1"
"1","2N7000","T1","T1","Part 1"
"1","2N7000","T2","T2","Part 1"
"1","ATMEGA328P_PDIP","U2","U$3","Part 1"
"1","ESP12Q","U$1","U$1","Part 1"
"1","5V/5W HIGH_LINK","U$2","U$2","Part 1"
"1","","X1","X1","Part -1"
"1","","X2","X2","Part -1"
"1","","X3","X3","Part -1"
"1","","X4","X4","Part -1"
"1","","X5","X5","Part -1"
"1","","X6","X6","Part -1"
"1","","X7","X7","Part -1"
"1","","X8","X8","Part -1"
"1","","X9","X9","Part -1"
"104","","","",""
